,extra_trees,random_forest,lightgbm,score
D__ASESOR COMERCIAL SENIOR,0.6956825695728682,0.23900723909794444,0.23852912845518354,good
pregunta_13,0.3325011355363445,0.36701216578118734,0.3482730635143782,good
D__ASESOR COMERCIAL JUNIOR 2,0.5151835406173189,0.24729157364597004,0.21715516742247612,good
pregunta_29,0.4211538689383811,0.2560524012698454,0.2786068133573289,good
pregunta_10,0.30208590642673555,0.27018680845138254,0.3541100237208405,good
pregunta_30,0.3252717566557193,0.30076486079974984,0.27588359238987037,good
D__Otros,0.3977005634190318,0.2472003457069791,0.23102010631197795,good
pregunta_28,0.2629306494258523,0.2778430127213819,0.30875407300520863,good
D__ASESOR COMERCIAL JUNIOR 1,0.32565486301431795,0.26684221611098463,0.2457588034019012,good
cluster,0.27921672323762486,0.26531035017509164,0.27209596644064943,uncertain
pregunta_3,0.24407136414004366,0.2850603053846385,0.27517398906869545,uncertain
D__ASESOR COMERCIAL FUNCIONARIO,0.3200583334650748,0.24668159236142365,0.23721186817902773,uncertain
D__Femenino,0.30944329691516054,0.2152953768770143,0.2604975004918245,uncertain
pregunta_23,0.2402232744633442,0.31896026315079656,0.22208265281755918,uncertain
pregunta_2,0.2647475458421289,0.2639547096396529,0.2505088879666905,uncertain
pregunta_5,0.30305321770307087,0.2514030626133692,0.22365276838810835,uncertain
ingresoef,0.2796263517434452,0.2313215729350583,0.26668926235887425,uncertain
D__Masculino,0.2704240708944877,0.2838361763274574,0.22325822887437904,uncertain
D__Casado,0.30250772018740807,0.2650970692687498,0.20703811662905347,uncertain
pregunta_9,0.2432173515142427,0.26120990571820535,0.2580046641588488,uncertain
D__ASESOR COMERCIAL MASTER,0.272452374234177,0.23608346072118536,0.251950565268951,uncertain
pregunta_6,0.14875495033108033,0.34255926647443957,0.2651456386904196,uncertain
pregunta_8,0.17746685197878292,0.36813458866267196,0.21004068479299984,uncertain
pregunta_12,0.26303273225021695,0.2565638169495661,0.2320090568296408,uncertain
Edad,0.20690854029964462,0.27987351706090396,0.25999178990303784,uncertain
pregunta_16,0.28218041393183296,0.2651582906346462,0.19050294057628225,uncertain
D__Soltero,0.2893040166326516,0.22226601866836468,0.21706646700732926,uncertain
pregunta_11,0.21862785149334002,0.22198248156200578,0.2863554448438806,uncertain
pregunta_1,0.10306541164041197,0.27933654005701525,0.3438155720971241,uncertain
pregunta_14,0.15428147480596346,0.24732076516322354,0.32280965867605144,uncertain
pregunta_18,0.19239659125399342,0.2539191057484598,0.27779526366995977,uncertain
pregunta_21,0.20809767492131906,0.19140116145996294,0.3148703804081588,uncertain
pregunta_22,0.20233747182716275,0.22848452717597303,0.2793786251915562,uncertain
pregunta_27,0.2432834147565073,0.229170504073429,0.21894242167646086,uncertain
pregunta_25,0.10998103575212667,0.2507957541685515,0.3151232357025521,uncertain
pregunta_4,0.13060647232973346,0.32677196660522667,0.2178025622305988,uncertain
pregunta_17,0.09428043400162969,0.29907757679556146,0.2818092530114795,uncertain
pregunta_20,0.18605515732634953,0.23278046455963602,0.21998033475612877,uncertain
pregunta_7,0.23873263687506607,0.17986271386882235,0.190680341406576,bad
pregunta_15,0.21530230143815948,0.15467429081835946,0.2098632839627061,bad
pregunta_19,0.0790452813316908,0.19035164363253615,0.28992593210966594,bad
pregunta_24,0.15133722596264676,0.23894516774056762,0.16861002300374087,bad
pregunta_26,0.11627580093152882,0.1703254308638464,0.23079374291967913,bad
