,extra_trees,random_forest,lightgbm,score
pregunta_27,0.25950250221863197,0.3370545790081796,0.5540994173659579,good_uncertain
pregunta_23,0.289154646204779,0.4703841816891756,0.3444534837556962,good_uncertain
pregunta_5,0.30349443529212095,0.39815310530873727,0.3614207861198006,good_uncertain
pregunta_1,0.37088529014334726,0.37035709735031896,0.3213284321178831,good_uncertain
D__Femenino,0.45480300844033594,0.3030354425980404,0.2947017300426223,good_uncertain
pregunta_18,0.26165284344497547,0.43963271234037526,0.35086464450772875,good_uncertain
cluster,0.3454456869545866,0.3385973206778699,0.33621471233534644,uncertain
D__Casado,0.41347280599929576,0.3436963555281552,0.25961697193517375,uncertain
ingresoef,0.44448792915560736,0.2890453526874955,0.27511245570874276,uncertain
pregunta_17,0.2670391131215036,0.3310721441464157,0.3993979911085912,uncertain
pregunta_6,0.41293756759081907,0.3417276988156659,0.23304146015964178,uncertain
pregunta_21,0.3467900294571782,0.2930596199071736,0.33450654569973,uncertain
D__ASESOR COMERCIAL MASTER,0.3621577375897891,0.3132401075237743,0.29586894685510484,uncertain
D__ASESOR COMERCIAL FUNCIONARIO,0.364046622150151,0.2791897006779737,0.3227661238419326,uncertain
pregunta_2,0.2606515168089697,0.34240990818427824,0.34560363713493575,uncertain
D__Masculino,0.38715836980095386,0.2499593612461267,0.3093175353485187,uncertain
pregunta_8,0.40942244835827796,0.30602213708077763,0.22632569762955634,uncertain
pregunta_20,0.3005688358918308,0.27771922906808255,0.34705839229222823,uncertain
D__Soltero,0.42283326206103994,0.25828285559663094,0.24412148816160464,uncertain
pregunta_22,0.37831898013656046,0.25233540769974244,0.266383924764988,uncertain
pregunta_14,0.34422118965390786,0.2869751183667555,0.24270085987079806,uncertain
pregunta_4,0.22944699150957434,0.33079894550288164,0.31053594246073013,uncertain
Edad,0.22797306141066093,0.3223806591970495,0.3105018155942442,uncertain
pregunta_9,0.22241433898695864,0.31643181957554944,0.2631527492391073,uncertain
pregunta_16,0.2603111850923761,0.2467702928362372,0.27893577135748626,uncertain
pregunta_12,0.31642739814824206,0.1483739905035907,0.31753924333562544,uncertain
pregunta_25,0.3728488883176786,0.23328854699699206,0.17515331562567593,bad_uncertain
pregunta_11,0.21280718038025329,0.14066239574008935,0.2865482757884873,bad_uncertain
pregunta_3,0.30593799329622606,0.1822758266887769,0.11579335250117467,bad_uncertain
